==Command Names==
6 Япония→Барса
6 Италия→Челси 
8 Германия→Бавария
9 Аргентина→Реал Мадр
8 Бразилия→Сантос
7 Камерун→Ньюкасл
7 Мексика→Арсенал
8 Монголия→Атлетико
7 Тайланд→Торонто
6 Англия→Челси
6 Гвинея→Зенит
7 Сенегал→Ювентус
5 Корея→Рома

==Japan Player Names==
1. 5 Кунио → Месси
2. 5 Ёрицу → 
3. 5 Садзи → Ливан
4. 5 Хориб → 
5. 5 Ивака → 
6. 5 Гэнэй → 
7. 5 Угадз → 
8. 5 Онита → 
9. 5 Кумон → 
10. 5 Каиде → 
11. 5 Цунео → 
12. 4 Карл → Марк

==Italian Player Names==
1. 3 Раф → 
2. 5 Рикко → 
3. 5 Хорхе → 
4. 4 Лука → 
5. 5 Джузе → 
6. 5 Джова → 
==German Player Names==
1. 5 Эккер → Месси
2. 5 Хелме → 
3. 4 Ридл → 
4. 5 Варни → 
5. 5 Шульц → 
6. 5 Бреме → 
==Argentine Player Names==
1. 5 Латор → 
2. 5 Эскоб → 
3. 5 Серхи → 
4. 5 Олива → 
5. 5 Бальб → 
6. 5 Игита → 
==Brazilian Player Names==
1. 4 Диас → 
2. 5 Сараб → 
3. 5 Мендо → 
4. 5 Буньо → 
5. 5 Санто → 
6. 5 Ригез → 
==Cameroonian Player Names==
1. 5 Варио → 
2. 5 Дакос → 
3. 5 Обанг → 
4. 5 Мугаб → 
5. 5 Кундж → 
6. 5 Джава → 
==Mexican Player Names==
1. 5 Авиле → 
2. 5 Агина → 
3. 5 Гонса → 
4. 5 Салаз → 
5. 5 Тапаж → 
6. 5 Энрик → 
==Mongolian Player Names==
1. 5 Джеру → 
2. 5 Аджур → 
3. 5 Газан → 
4. 5 Монто → 
5. 5 Фурут → 
6. 5 Ишиму → 
==Thai Player Names==
1. 5 Пумип → 
2. 5 Тхонг → 
3. 5 Сакет → 
4. 5 Пибун → 
5. 5 Танин → 
6. 5 Чарча → 
==English Player Names==
1. 5 Дэвид → 
2. 5 Найдж → 
3. 4 Марк → 
4. 5 Марти → 
5. 5 Генри → 
6. 5 Энди → 
==Gvinean Player Names==
1. 5 Нгема → 
2. 5 Мабуи → 
3. 5 Мугаб → 
4. 5 Мобут → 
5. 5 Согол → 
6. 5 Адэ → 
==Sinegal Player Names==
1. 5 Румун → 
2. 5 Уэнба → 
3. 5 Нуйом → 
4. 5 Нужер → 
5. 5 Обенд → 
6. 5 Мкндж → 
==Korean Player Names==
1. 5 Чон.У → 
2. 5 Й.Дук → 
3. 5 МанСу → 
4. 5 МинХо → 
5. 5 Й.Су → 
6. 5 СынЧу → 
